address,price,beds,baths,sqft,url,description,type,page_number,neighborhood,scraped_date
"10522 Lou Dillon Ave #10524, Los Angeles, CA 90002","$3,000/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/10522-Lou-Dillon-Ave-10524-Los-Angeles-CA-90002/455321378_zpid/,"SECTION 8 WELCOMED. This recently renovated 2 bedroom 1. restroom unit has been updated with fresh paint, new kitchen/restroom modern cabinets, new kitchen/restroom fixtures, and updated flooring including tile throughout the rest of the unit. The bedrooms and the living room have ceiling fans to keep you cool on hot days; and a wall heater for cold days. Additionally, there are washer and dryer hookups and parking is available for one car. The property has security cameras (Eufy) around the premises. Microwave included.

1 year lease agreement term, owner pays pest control, lawn maintenance, and sewer. Tenant pays for gas, electricity, trash, and water.Hide",Rental,2,Watts,2025-08-06 15:00:43
"1947 E 114th St #1/2, Los Angeles, CA 90059","$3,300/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1947-E-114th-St-1-2-Los-Angeles-CA-90059/455126505_zpid/,"Welcome to your next home! This beautifully maintained 3-bedroom, 1-bathroom house located at 1947 E 114th Street offers comfort, convenience, and classic charm in a quiet neighborhood setting. Step inside to find a spacious living area filled with natural light, hardwood flooring, and a neutral color palette that suits any style. The updated kitchen features modern appliances, ample cabinet space, and room for a breakfast nook.

Each bedroom is generously sized with plenty of closet space, and the bathroom is clean and functional with updated fixtures. Enjoy a private backyard perfect for relaxing, entertaining, or gardening along with a full basement for extra storage or potential workspace.Hide",Rental,2,Watts,2025-08-06 15:00:43
"1918 E 115th St #1918, Los Angeles, CA 90059","$2,900/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1918-E-115th-St-1918-Los-Angeles-CA-90059/2053369070_zpid/,"3bd, 1bth upstairs unit available in duplex. This extremely spacious unit comes with an even more spacious yard. This unit's natural light highlights the updated kitchen, open living room, and cozy bedrooms with closets. (SECTION 8 OK)

$35 credit check is required for each adult over the age of 18. 
AUGUST ONLY: $35 credit check fee to be credit to first month's rent with the signing of a 1 year lease!

Very walkable and friendly neighborhood:
 Grocery Store: 8 minute walk
 Planet Fitness: 5 minute walk
 Metro Green & Blue Lines: 5 minute walk
 Convenience, Eateries, etc: 5 - 10 minute walk

Our small and communicative management team is looking for a respectful family or group of occupants to work together in providing a safe and welcoming home environment.

1. Multiple rental agreement and lease options! (deposit and first month's rent due at signing)

2. No smoking in unit. Spacious yard available as an alternate. 

3. Pets: Please call for more info! 

4. FREE parking with the signing of a 1-year lease! (Proof of registration within the past 3 years is required)

5. Tenant is responsible for water and electricity.Hide",Rental,2,Watts,2025-08-06 15:00:43
"9616 Graham Ave, Los Angeles, CA 90002","$3,200/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/9616-Graham-Ave-Los-Angeles-CA-90002/453851189_zpid/,"This 3 bedroom home is part of a duplex. This is the back unit above the garage and is detached from the other unit. 
It has a 1 car garage plus 1 other onsite parking space in the carport.
It is located down the street from the MLK Jr. Shopping center and Watts Towers, and the Watts Towers Metro Rail Station.
 Minimum credit score for approval is 680 and No evictions. Section 8 friendly.

All utilities are separately metered and paid for by tenant.

Tenant is responsible for all their utilities, as they are separately metered.Show more",Rental,2,Watts,2025-08-06 15:00:43
"(undisclosed Address), Los Angeles, CA 90002","$3,500/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/Los-Angeles-CA-90002/20956500_zpid/,"Beautiful single family residence, hard to find 2 bedroom 2 bath , laundry hook ups, fenced yard,driveway.
Completely remodeled in great residential neighborhood! 
On Compton Ave...Los Angeles 90002.

Offers spacious living space, over 1,050 sq.ft
 Updated modern kitchen and bathroom, beautiful laminate flooring!
Huge private fenced yard, all around.

Must see to appreciate!
Will be beautifully landscaped work to begin soon!

Call for appointment to view.
Mr Cervera, Leasing Consultant

1 year Lease.
Tenant pays all utilities.
Free WiFi 
Equal Housing Opportunity and ESA pet Laws adhered to by Landlord.
Renters insurance may be required.Hide",Rental,2,Watts,2025-08-06 15:00:43
"1675 E 97th St, Los Angeles, CA 90002","$2,000/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1675-E-97th-St-Los-Angeles-CA-90002/20956657_zpid/,"Welcome to your beautifully updated 2-bedroom, 1-bath apartment, offering a perfect blend of design and everyday convenience. Located in a quiet and well-connected neighborhood, this freshly renovated unit is ideal for professionals, small families, or anyone seeking a stylish and comfortable place to call home.

 Features Include:
	 	New Renovations: Fresh paint, new flooring, modern fixtures, and updated lighting.
	 	Spacious Layout: Open-concept living and dining area with plenty of natural light
	 	Sleek Kitchen
	 	Upgraded Bathroom: Contemporary finishes, new vanity, and tile accents
	 	Two Comfortable Bedrooms: Ample closet space and cozy ambiance
	 	Convenient Amenities: On-site gated entry, and assigned parking)

 Prime Location
Close to public transportation, major freeways, local shops, dining, schools, and parks enjoy the ease of urban living with a neighborhood feel.

 Rent: [$2,000]
 Available: [Today 7-23-25]Hide",Rental,2,Watts,2025-08-06 15:00:43
"9722 Holmes Ave, Los Angeles, CA 90002","$3,400/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/9722-Holmes-Ave-Los-Angeles-CA-90002/20957082_zpid/,"Secured and convenient location 3 bed 2 bath with 1 car garage

1 yearShow more",Rental,2,Watts,2025-08-06 15:00:43
"1783 E Imperial Hwy #1, Los Angeles, CA 90059","$3,300/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1783-E-Imperial-Hwy-1-Los-Angeles-CA-90059/452350534_zpid/,"This duplex is in a great location close to the Blue and Green Line Station. Built in 2017 with only one previous tenant. This unit is ground floor. Upper unit can be rented together for a total of 10 bedrooms. Rent is negotiable if you rent both units. One garage is also available for additional fee.

One year lease, tenant pays for all utilities. Garage available for additional fee. Applicant will need to provide bank statements, and pay stubs. Must apply thru Rentspree application regardless of providing Zillow application. We will provide you a link to Rentspree. Thank you.Show more",Rental,2,Watts,2025-08-06 15:00:43
"Kalmia Rose | 9808 S Kalmia St, Los Angeles, CA","$1,732+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/kalmia-rose/CjfLP4/,"Kalmia Rose Apartments is a brand new, mixed-income community in the historic Watts neighborhood of Southern Los Angeles. Located just one block from from Freedom Plaza Mall, new transit stops, and Jordan Downs Recreation Center, Kalmia Rose is the newest hub for modern, convenient living in South LA. 

Residents can enjoy onsite laundry lounges, a furnished community room, secured entry, bicycle parking, & more!",Rental,3,Watts,2025-08-06 15:00:43
"10522 Lou Dillon Ave #10524, Los Angeles, CA 90002","$3,000/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/10522-Lou-Dillon-Ave-10524-Los-Angeles-CA-90002/455321378_zpid/,"SECTION 8 WELCOMED. This recently renovated 2 bedroom 1. restroom unit has been updated with fresh paint, new kitchen/restroom modern cabinets, new kitchen/restroom fixtures, and updated flooring including tile throughout the rest of the unit. The bedrooms and the living room have ceiling fans to keep you cool on hot days; and a wall heater for cold days. Additionally, there are washer and dryer hookups and parking is available for one car. The property has security cameras (Eufy) around the premises. Microwave included.

1 year lease agreement term, owner pays pest control, lawn maintenance, and sewer. Tenant pays for gas, electricity, trash, and water.Hide",Rental,3,Watts,2025-08-06 15:00:43
"1947 E 114th St #1/2, Los Angeles, CA 90059","$3,300/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1947-E-114th-St-1-2-Los-Angeles-CA-90059/455126505_zpid/,"Welcome to your next home! This beautifully maintained 3-bedroom, 1-bathroom house located at 1947 E 114th Street offers comfort, convenience, and classic charm in a quiet neighborhood setting. Step inside to find a spacious living area filled with natural light, hardwood flooring, and a neutral color palette that suits any style. The updated kitchen features modern appliances, ample cabinet space, and room for a breakfast nook.

Each bedroom is generously sized with plenty of closet space, and the bathroom is clean and functional with updated fixtures. Enjoy a private backyard perfect for relaxing, entertaining, or gardening along with a full basement for extra storage or potential workspace.Hide",Rental,3,Watts,2025-08-06 15:00:43
"1918 E 115th St #1918, Los Angeles, CA 90059","$2,900/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1918-E-115th-St-1918-Los-Angeles-CA-90059/2053369070_zpid/,"3bd, 1bth upstairs unit available in duplex. This extremely spacious unit comes with an even more spacious yard. This unit's natural light highlights the updated kitchen, open living room, and cozy bedrooms with closets. (SECTION 8 OK)

$35 credit check is required for each adult over the age of 18. 
AUGUST ONLY: $35 credit check fee to be credit to first month's rent with the signing of a 1 year lease!

Very walkable and friendly neighborhood:
 Grocery Store: 8 minute walk
 Planet Fitness: 5 minute walk
 Metro Green & Blue Lines: 5 minute walk
 Convenience, Eateries, etc: 5 - 10 minute walk

Our small and communicative management team is looking for a respectful family or group of occupants to work together in providing a safe and welcoming home environment.

1. Multiple rental agreement and lease options! (deposit and first month's rent due at signing)

2. No smoking in unit. Spacious yard available as an alternate. 

3. Pets: Please call for more info! 

4. FREE parking with the signing of a 1-year lease! (Proof of registration within the past 3 years is required)

5. Tenant is responsible for water and electricity.Hide",Rental,3,Watts,2025-08-06 15:00:43
"9616 Graham Ave, Los Angeles, CA 90002","$3,200/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/9616-Graham-Ave-Los-Angeles-CA-90002/453851189_zpid/,"This 3 bedroom home is part of a duplex. This is the back unit above the garage and is detached from the other unit. 
It has a 1 car garage plus 1 other onsite parking space in the carport.
It is located down the street from the MLK Jr. Shopping center and Watts Towers, and the Watts Towers Metro Rail Station.
 Minimum credit score for approval is 680 and No evictions. Section 8 friendly.

All utilities are separately metered and paid for by tenant.

Tenant is responsible for all their utilities, as they are separately metered.Show more",Rental,3,Watts,2025-08-06 15:00:43
"(undisclosed Address), Los Angeles, CA 90002","$3,500/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/Los-Angeles-CA-90002/20956500_zpid/,"Beautiful single family residence, hard to find 2 bedroom 2 bath , laundry hook ups, fenced yard,driveway.
Completely remodeled in great residential neighborhood! 
On Compton Ave...Los Angeles 90002.

Offers spacious living space, over 1,050 sq.ft
 Updated modern kitchen and bathroom, beautiful laminate flooring!
Huge private fenced yard, all around.

Must see to appreciate!
Will be beautifully landscaped work to begin soon!

Call for appointment to view.
Mr Cervera, Leasing Consultant

1 year Lease.
Tenant pays all utilities.
Free WiFi 
Equal Housing Opportunity and ESA pet Laws adhered to by Landlord.
Renters insurance may be required.Hide",Rental,3,Watts,2025-08-06 15:00:43
"1675 E 97th St, Los Angeles, CA 90002","$2,000/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1675-E-97th-St-Los-Angeles-CA-90002/20956657_zpid/,"Welcome to your beautifully updated 2-bedroom, 1-bath apartment, offering a perfect blend of design and everyday convenience. Located in a quiet and well-connected neighborhood, this freshly renovated unit is ideal for professionals, small families, or anyone seeking a stylish and comfortable place to call home.

 Features Include:
	 	New Renovations: Fresh paint, new flooring, modern fixtures, and updated lighting.
	 	Spacious Layout: Open-concept living and dining area with plenty of natural light
	 	Sleek Kitchen
	 	Upgraded Bathroom: Contemporary finishes, new vanity, and tile accents
	 	Two Comfortable Bedrooms: Ample closet space and cozy ambiance
	 	Convenient Amenities: On-site gated entry, and assigned parking)

 Prime Location
Close to public transportation, major freeways, local shops, dining, schools, and parks enjoy the ease of urban living with a neighborhood feel.

 Rent: [$2,000]
 Available: [Today 7-23-25]Hide",Rental,3,Watts,2025-08-06 15:00:43
"9722 Holmes Ave, Los Angeles, CA 90002","$3,400/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/9722-Holmes-Ave-Los-Angeles-CA-90002/20957082_zpid/,"Secured and convenient location 3 bed 2 bath with 1 car garage

1 yearShow more",Rental,3,Watts,2025-08-06 15:00:43
"1783 E Imperial Hwy #1, Los Angeles, CA 90059","$3,300/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1783-E-Imperial-Hwy-1-Los-Angeles-CA-90059/452350534_zpid/,"This duplex is in a great location close to the Blue and Green Line Station. Built in 2017 with only one previous tenant. This unit is ground floor. Upper unit can be rented together for a total of 10 bedrooms. Rent is negotiable if you rent both units. One garage is also available for additional fee.

One year lease, tenant pays for all utilities. Garage available for additional fee. Applicant will need to provide bank statements, and pay stubs. Must apply thru Rentspree application regardless of providing Zillow application. We will provide you a link to Rentspree. Thank you.Show more",Rental,3,Watts,2025-08-06 15:00:43
"Kalmia Rose | 9808 S Kalmia St, Los Angeles, CA","$1,732+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/kalmia-rose/CjfLP4/,"Kalmia Rose Apartments is a brand new, mixed-income community in the historic Watts neighborhood of Southern Los Angeles. Located just one block from from Freedom Plaza Mall, new transit stops, and Jordan Downs Recreation Center, Kalmia Rose is the newest hub for modern, convenient living in South LA. 

Residents can enjoy onsite laundry lounges, a furnished community room, secured entry, bicycle parking, & more!",Rental,4,Watts,2025-08-06 15:00:43
"10522 Lou Dillon Ave #10524, Los Angeles, CA 90002","$3,000/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/10522-Lou-Dillon-Ave-10524-Los-Angeles-CA-90002/455321378_zpid/,"SECTION 8 WELCOMED. This recently renovated 2 bedroom 1. restroom unit has been updated with fresh paint, new kitchen/restroom modern cabinets, new kitchen/restroom fixtures, and updated flooring including tile throughout the rest of the unit. The bedrooms and the living room have ceiling fans to keep you cool on hot days; and a wall heater for cold days. Additionally, there are washer and dryer hookups and parking is available for one car. The property has security cameras (Eufy) around the premises. Microwave included.

1 year lease agreement term, owner pays pest control, lawn maintenance, and sewer. Tenant pays for gas, electricity, trash, and water.Hide",Rental,4,Watts,2025-08-06 15:00:43
"1947 E 114th St #1/2, Los Angeles, CA 90059","$3,300/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1947-E-114th-St-1-2-Los-Angeles-CA-90059/455126505_zpid/,"Welcome to your next home! This beautifully maintained 3-bedroom, 1-bathroom house located at 1947 E 114th Street offers comfort, convenience, and classic charm in a quiet neighborhood setting. Step inside to find a spacious living area filled with natural light, hardwood flooring, and a neutral color palette that suits any style. The updated kitchen features modern appliances, ample cabinet space, and room for a breakfast nook.

Each bedroom is generously sized with plenty of closet space, and the bathroom is clean and functional with updated fixtures. Enjoy a private backyard perfect for relaxing, entertaining, or gardening along with a full basement for extra storage or potential workspace.Hide",Rental,4,Watts,2025-08-06 15:00:43
"1918 E 115th St #1918, Los Angeles, CA 90059","$2,900/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1918-E-115th-St-1918-Los-Angeles-CA-90059/2053369070_zpid/,"3bd, 1bth upstairs unit available in duplex. This extremely spacious unit comes with an even more spacious yard. This unit's natural light highlights the updated kitchen, open living room, and cozy bedrooms with closets. (SECTION 8 OK)

$35 credit check is required for each adult over the age of 18. 
AUGUST ONLY: $35 credit check fee to be credit to first month's rent with the signing of a 1 year lease!

Very walkable and friendly neighborhood:
 Grocery Store: 8 minute walk
 Planet Fitness: 5 minute walk
 Metro Green & Blue Lines: 5 minute walk
 Convenience, Eateries, etc: 5 - 10 minute walk

Our small and communicative management team is looking for a respectful family or group of occupants to work together in providing a safe and welcoming home environment.

1. Multiple rental agreement and lease options! (deposit and first month's rent due at signing)

2. No smoking in unit. Spacious yard available as an alternate. 

3. Pets: Please call for more info! 

4. FREE parking with the signing of a 1-year lease! (Proof of registration within the past 3 years is required)

5. Tenant is responsible for water and electricity.Hide",Rental,4,Watts,2025-08-06 15:00:43
"9616 Graham Ave, Los Angeles, CA 90002","$3,200/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/9616-Graham-Ave-Los-Angeles-CA-90002/453851189_zpid/,"This 3 bedroom home is part of a duplex. This is the back unit above the garage and is detached from the other unit. 
It has a 1 car garage plus 1 other onsite parking space in the carport.
It is located down the street from the MLK Jr. Shopping center and Watts Towers, and the Watts Towers Metro Rail Station.
 Minimum credit score for approval is 680 and No evictions. Section 8 friendly.

All utilities are separately metered and paid for by tenant.

Tenant is responsible for all their utilities, as they are separately metered.Show more",Rental,4,Watts,2025-08-06 15:00:43
"(undisclosed Address), Los Angeles, CA 90002","$3,500/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/Los-Angeles-CA-90002/20956500_zpid/,"Beautiful single family residence, hard to find 2 bedroom 2 bath , laundry hook ups, fenced yard,driveway.
Completely remodeled in great residential neighborhood! 
On Compton Ave...Los Angeles 90002.

Offers spacious living space, over 1,050 sq.ft
 Updated modern kitchen and bathroom, beautiful laminate flooring!
Huge private fenced yard, all around.

Must see to appreciate!
Will be beautifully landscaped work to begin soon!

Call for appointment to view.
Mr Cervera, Leasing Consultant

1 year Lease.
Tenant pays all utilities.
Free WiFi 
Equal Housing Opportunity and ESA pet Laws adhered to by Landlord.
Renters insurance may be required.Hide",Rental,4,Watts,2025-08-06 15:00:43
"1675 E 97th St, Los Angeles, CA 90002","$2,000/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1675-E-97th-St-Los-Angeles-CA-90002/20956657_zpid/,"Welcome to your beautifully updated 2-bedroom, 1-bath apartment, offering a perfect blend of design and everyday convenience. Located in a quiet and well-connected neighborhood, this freshly renovated unit is ideal for professionals, small families, or anyone seeking a stylish and comfortable place to call home.

 Features Include:
	 	New Renovations: Fresh paint, new flooring, modern fixtures, and updated lighting.
	 	Spacious Layout: Open-concept living and dining area with plenty of natural light
	 	Sleek Kitchen
	 	Upgraded Bathroom: Contemporary finishes, new vanity, and tile accents
	 	Two Comfortable Bedrooms: Ample closet space and cozy ambiance
	 	Convenient Amenities: On-site gated entry, and assigned parking)

 Prime Location
Close to public transportation, major freeways, local shops, dining, schools, and parks enjoy the ease of urban living with a neighborhood feel.

 Rent: [$2,000]
 Available: [Today 7-23-25]Hide",Rental,4,Watts,2025-08-06 15:00:43
"9722 Holmes Ave, Los Angeles, CA 90002","$3,400/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/9722-Holmes-Ave-Los-Angeles-CA-90002/20957082_zpid/,"Secured and convenient location 3 bed 2 bath with 1 car garage

1 yearShow more",Rental,4,Watts,2025-08-06 15:00:43
"1783 E Imperial Hwy #1, Los Angeles, CA 90059","$3,300/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1783-E-Imperial-Hwy-1-Los-Angeles-CA-90059/452350534_zpid/,"This duplex is in a great location close to the Blue and Green Line Station. Built in 2017 with only one previous tenant. This unit is ground floor. Upper unit can be rented together for a total of 10 bedrooms. Rent is negotiable if you rent both units. One garage is also available for additional fee.

One year lease, tenant pays for all utilities. Garage available for additional fee. Applicant will need to provide bank statements, and pay stubs. Must apply thru Rentspree application regardless of providing Zillow application. We will provide you a link to Rentspree. Thank you.Show more",Rental,4,Watts,2025-08-06 15:00:43
"Kalmia Rose | 9808 S Kalmia St, Los Angeles, CA","$1,732+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/kalmia-rose/CjfLP4/,"Kalmia Rose Apartments is a brand new, mixed-income community in the historic Watts neighborhood of Southern Los Angeles. Located just one block from from Freedom Plaza Mall, new transit stops, and Jordan Downs Recreation Center, Kalmia Rose is the newest hub for modern, convenient living in South LA. 

Residents can enjoy onsite laundry lounges, a furnished community room, secured entry, bicycle parking, & more!",Rental,5,Watts,2025-08-06 15:00:43
"10522 Lou Dillon Ave #10524, Los Angeles, CA 90002","$3,000/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/10522-Lou-Dillon-Ave-10524-Los-Angeles-CA-90002/455321378_zpid/,"SECTION 8 WELCOMED. This recently renovated 2 bedroom 1. restroom unit has been updated with fresh paint, new kitchen/restroom modern cabinets, new kitchen/restroom fixtures, and updated flooring including tile throughout the rest of the unit. The bedrooms and the living room have ceiling fans to keep you cool on hot days; and a wall heater for cold days. Additionally, there are washer and dryer hookups and parking is available for one car. The property has security cameras (Eufy) around the premises. Microwave included.

1 year lease agreement term, owner pays pest control, lawn maintenance, and sewer. Tenant pays for gas, electricity, trash, and water.Hide",Rental,5,Watts,2025-08-06 15:00:43
"1947 E 114th St #1/2, Los Angeles, CA 90059","$3,300/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1947-E-114th-St-1-2-Los-Angeles-CA-90059/455126505_zpid/,"Welcome to your next home! This beautifully maintained 3-bedroom, 1-bathroom house located at 1947 E 114th Street offers comfort, convenience, and classic charm in a quiet neighborhood setting. Step inside to find a spacious living area filled with natural light, hardwood flooring, and a neutral color palette that suits any style. The updated kitchen features modern appliances, ample cabinet space, and room for a breakfast nook.

Each bedroom is generously sized with plenty of closet space, and the bathroom is clean and functional with updated fixtures. Enjoy a private backyard perfect for relaxing, entertaining, or gardening along with a full basement for extra storage or potential workspace.Hide",Rental,5,Watts,2025-08-06 15:00:43
